trajectory,trajectory_path,frame,natoms,mini_pressure_bar,pressure_index,raw_index,rss_source_file,rss_source_path,minimized_source_path,raw_source_path,flat_sha256,minimized_sha256
rss-n9-p0bar,Ta-potential/fcc-restart/05-rss-round-1/rss-selection/source-frames/rss-n9-p0bar.xyz,20,9,0.0,0,20,000061.poscar,unary-Ta/Ta-00020-0.poscar,/home/tuzhengyu/work/WTaTi/Ta-potential/fcc-restart/05-rss-round-1/rss/minimized/unary-Ta/Ta-00020-0.poscar,Ta-potential/fcc-restart/05-rss-round-1/rss/raw/unary-Ta/Ta-00020.poscar,af8195cc245219c1e9202d04e7f1b1866a57858da0f3f88343f45a685f6a3564,af8195cc245219c1e9202d04e7f1b1866a57858da0f3f88343f45a685f6a3564
rss-n9-p0bar,Ta-potential/fcc-restart/05-rss-round-1/rss-selection/source-frames/rss-n9-p0bar.xyz,21,9,0.0,0,21,000064.poscar,unary-Ta/Ta-00021-0.poscar,/home/tuzhengyu/work/WTaTi/Ta-potential/fcc-restart/05-rss-round-1/rss/minimized/unary-Ta/Ta-00021-0.poscar,Ta-potential/fcc-restart/05-rss-round-1/rss/raw/unary-Ta/Ta-00021.poscar,dc0e79ac8d529d4e18fd9ad9d92f21162385e03d95e99f2150d2607e5f67e018,dc0e79ac8d529d4e18fd9ad9d92f21162385e03d95e99f2150d2607e5f67e018
rss-n9-p0bar,Ta-potential/fcc-restart/05-rss-round-1/rss-selection/source-frames/rss-n9-p0bar.xyz,22,9,0.0,0,22,000067.poscar,unary-Ta/Ta-00022-0.poscar,/home/tuzhengyu/work/WTaTi/Ta-potential/fcc-restart/05-rss-round-1/rss/minimized/unary-Ta/Ta-00022-0.poscar,Ta-potential/fcc-restart/05-rss-round-1/rss/raw/unary-Ta/Ta-00022.poscar,87cfc516b24a17ded70659c0b498dc2e58c1ee1058c06845c8ed38b4ecd4fb13,87cfc516b24a17ded70659c0b498dc2e58c1ee1058c06845c8ed38b4ecd4fb13
rss-n9-p0bar,Ta-potential/fcc-restart/05-rss-round-1/rss-selection/source-frames/rss-n9-p0bar.xyz,23,9,0.0,0,23,000070.poscar,unary-Ta/Ta-00023-0.poscar,/home/tuzhengyu/work/WTaTi/Ta-potential/fcc-restart/05-rss-round-1/rss/minimized/unary-Ta/Ta-00023-0.poscar,Ta-potential/fcc-restart/05-rss-round-1/rss/raw/unary-Ta/Ta-00023.poscar,2767688d90fd7f6f99c3370c4a4da097c4122319704b35ca1de10d3484c65a1a,2767688d90fd7f6f99c3370c4a4da097c4122319704b35ca1de10d3484c65a1a
rss-n9-p0bar,Ta-potential/fcc-restart/05-rss-round-1/rss-selection/source-frames/rss-n9-p0bar.xyz,24,9,0.0,0,24,000073.poscar,unary-Ta/Ta-00024-0.poscar,/home/tuzhengyu/work/WTaTi/Ta-potential/fcc-restart/05-rss-round-1/rss/minimized/unary-Ta/Ta-00024-0.poscar,Ta-potential/fcc-restart/05-rss-round-1/rss/raw/unary-Ta/Ta-00024.poscar,f40bf1dc51b26e76c88259d76c77d85dab7e3a81e5aee3d1f0ca85721221b36b,f40bf1dc51b26e76c88259d76c77d85dab7e3a81e5aee3d1f0ca85721221b36b
rss-n9-p0bar,Ta-potential/fcc-restart/05-rss-round-1/rss-selection/source-frames/rss-n9-p0bar.xyz,25,9,0.0,0,25,000076.poscar,unary-Ta/Ta-00025-0.poscar,/home/tuzhengyu/work/WTaTi/Ta-potential/fcc-restart/05-rss-round-1/rss/minimized/unary-Ta/Ta-00025-0.poscar,Ta-potential/fcc-restart/05-rss-round-1/rss/raw/unary-Ta/Ta-00025.poscar,b9645bc0e273b09e143a5296347a0746051876f3392830def05c681655b5b51c,b9645bc0e273b09e143a5296347a0746051876f3392830def05c681655b5b51c
rss-n9-p0bar,Ta-potential/fcc-restart/05-rss-round-1/rss-selection/source-frames/rss-n9-p0bar.xyz,26,9,0.0,0,26,000079.poscar,unary-Ta/Ta-00026-0.poscar,/home/tuzhengyu/work/WTaTi/Ta-potential/fcc-restart/05-rss-round-1/rss/minimized/unary-Ta/Ta-00026-0.poscar,Ta-potential/fcc-restart/05-rss-round-1/rss/raw/unary-Ta/Ta-00026.poscar,fb92616694a8c5a2e6ecb8d35b4988cd1db04d23dea7d0ed38dfbd06234799ca,fb92616694a8c5a2e6ecb8d35b4988cd1db04d23dea7d0ed38dfbd06234799ca
rss-n9-p0bar,Ta-potential/fcc-restart/05-rss-round-1/rss-selection/source-frames/rss-n9-p0bar.xyz,27,9,0.0,0,27,000082.poscar,unary-Ta/Ta-00027-0.poscar,/home/tuzhengyu/work/WTaTi/Ta-potential/fcc-restart/05-rss-round-1/rss/minimized/unary-Ta/Ta-00027-0.poscar,Ta-potential/fcc-restart/05-rss-round-1/rss/raw/unary-Ta/Ta-00027.poscar,37b4b8d6d4107104a1f11e41fcd9cae5ec70289f46fb42817a18b7caf1b7a373,37b4b8d6d4107104a1f11e41fcd9cae5ec70289f46fb42817a18b7caf1b7a373
rss-n9-p0bar,Ta-potential/fcc-restart/05-rss-round-1/rss-selection/source-frames/rss-n9-p0bar.xyz,28,9,0.0,0,28,000085.poscar,unary-Ta/Ta-00028-0.poscar,/home/tuzhengyu/work/WTaTi/Ta-potential/fcc-restart/05-rss-round-1/rss/minimized/unary-Ta/Ta-00028-0.poscar,Ta-potential/fcc-restart/05-rss-round-1/rss/raw/unary-Ta/Ta-00028.poscar,c88685134ec9673bfdc229fae9f7058b4c723d8b5c98a245c248725901d6efde,c88685134ec9673bfdc229fae9f7058b4c723d8b5c98a245c248725901d6efde
rss-n9-p0bar,Ta-potential/fcc-restart/05-rss-round-1/rss-selection/source-frames/rss-n9-p0bar.xyz,29,9,0.0,0,29,000088.poscar,unary-Ta/Ta-00029-0.poscar,/home/tuzhengyu/work/WTaTi/Ta-potential/fcc-restart/05-rss-round-1/rss/minimized/unary-Ta/Ta-00029-0.poscar,Ta-potential/fcc-restart/05-rss-round-1/rss/raw/unary-Ta/Ta-00029.poscar,1c45459b8ba2ee4ee5d045e8d0c06e95f306b7bb74d1d54903d9338fa7aa5cad,1c45459b8ba2ee4ee5d045e8d0c06e95f306b7bb74d1d54903d9338fa7aa5cad
